,id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description
5310,5310,Store Manager (JABODETABEK AREA),Jakarta Raya,IDR,Manajer/Asisten Manajer,2 tahun,"SMA, SMU/SMK/STM",Kontrak,"Penjualan / Pemasaran,Penjualan Ritel",Bisnis (contoh: Kemeja),18 days,1001 - 2000 pekerja,Makanan & Minuman/Katering/Restoran,"KANDIDAT YANG MEMENUHI KRITERIA AKAN DIHUBUNGIN MELALUI WHATSAPP, PASTIKAN ANDA MENCANTUMKAN NOMOR WHATSAPP ANDA KETIKA MELAMAR.Tugas dan Tanggung Jawab:- Meyakini serah terima kasir dan persediaan antar shift telah sesuai.- Melakukan pemeriksaan akhir hari atas penjualan yang terjadi pada hari berjalan.- Memastikan produksi yang dilakukan oleh Staf Kitchen sudah sesuai dengan kebutuhan outlet.- Memantau ketersediaan makanan jadi.- Melaporkan penggunaan bahan baku/WIP, waste, dan sisa persediaan pada hari berjalan kepada Cost Controller.- Menindaklanjuti setiap PO/PR yang masuk melalui aplikasi ESB- Memastikan bahwa seluruh PO/PR telah ditindaklanjuti dan disertai dengan dokumentasi yang memadai.- Memastikan kesesuaian antara PO/PR dan surat jalan/GD dengan barang yang diterima dari WH/CK/supplier/outlet lain.- Menentukan jumlah barang yang dapat diterima jika terdapat kelebihan barang yang dikirim.- Mengubah jumlah barang yang diterima pada hasil cetakan PO/PR/GD (dari aplikasi ESB)/surat jalan jika jumlah barang yang diterima tidak sesuai dengan PO/PR/GD/surat jalan.- Meng-input penerimaan barang pada aplikasi ESB berdasarkan jumlah barang yang diterima.- Menindaklanjuti permintaan barang dari outlet lain.- Meng-input GD pada aplikasi ESB.- Memastikan barang yang dikirim telah diterima oleh outlet yang meminta.- Memastikan kesesuaian suhu tempat penyimpanan bahan baku dan makanan setengah jadi (WIP).- Melakukan pemeriksaan atas jumlah persediaan barang masuk, yang digunakan, dan persediaan yang tersisa pada akhir hari.- Menganalisa kebutuhan persediaan barang, serta memantau ketersediaannya.- Melaporkan hasil pemeriksaan akhir hari kepada Cost Controller, yang meliputi penerimaan, pengiriman, dan sisa persediaan (setelah dikurangi pemakaian).- Mengelola petty cash dan melaporkan penggunaannya kepada Unit Finance.- Menyetujui pembelian barang (simple purchase) yang akan dilakukan outlet.- Meng-input simple purchase pada aplikasi ESB.· Melakukan koordinasi dengan Area Manager terkait permasalahan yang terjadi di outlet.Persyaratan:Minimal 1-2 tahun pengalaman kerja sebagai Store Manager / Asst. Manager Toko yang berspesialisasi dalam F & B / Layanan Restoran atau yang setara (atau, telah memahami dengan baik setidaknya 8 / delapan persyaratan di atas).Kemampuan kepemimpinan yang baik, keterampilan manajemen orang, mentoring & coachingKeterampilan manajemen pelanggan yang sangat baikKeterampilan organisasi yang kuatKeterampilan komunikasi dan interpersonal yang baikDiploma atau Sarjana Administrasi Bisnis/Food and Beverage Management/Tata Boga/Perhotelan atau bidang yang relevanMampu mengoperasikan dan memahami MS Office terutama ExcelMemahami skema inventory dengan baikPemahaman mendalam tentang laporan profit and loss (P&L) di dalam toko, Food hygiene, Health & SafetyMemahami setiap komponen KPI dan cara mencapainyaMemahami proses pemecahan masalah yang berkaitan dengan masalah operasionalDapat berbicara dengan intonasi dan kepercayaan diri yang baikProfesional dan fleksibel sesuai kebutuhan operasional terkait penempatanBERSEDIA DITEMPATKAN DI JABODETABEK."
5323,5323,Accounting Staff,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,Tidak terspesifikasi,Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan","Asuransi kesehatan;Pinjaman;Waktu regular, Senin - Jumat;Business, Uniform",28 days,51 - 200 pekerja,BioTeknologi/Farmasi/Riset klinik,"Job descriptionWe are looking for energetic, dynamic accountant to join our ever growing family. An ideal candidate would have experience in the field of accounting, tax reporting and great interpersonal skills.ResponsibilitiesReconciliation and equalisation of journal entries, ledger and bank statementsPrepare tax documentsLarge data verification and reconciliation between Excel and Accounting SoftwareCompile and analyse financial statementsJournal entriesData entry to excel and accounting softwareData matchingCalculating and Verifying TaxReview journal entries in accounting softwareReview invoices and paymentsBook reports (Profit and Loss, Balance Sheet, Cash Flow)QualificationsBachelor's degree in Accounting or related fieldAt least 3 years experience in the field of accountingAbility to interpret and analyze financial statements and periodicalsFluency in Microsoft Office suite (Outlook, Excel, Word, PowerPoint, etc.)Preferable skill in Jurnal accounting software"
5324,5324,Sport Coach,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,Kontrak,"Layanan Kesehatan,Praktisi/Asisten Medis",Asuransi Gigi;Tunjangan Pendidikan;Tip;Asuransi kesehatan;Pinjaman;Parkir;Penglihatan;Bisnis (contoh: Kemeja);Depend on Location and Position,28 days,1001 - 2000 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,"Compulsory RequirementsDegreeMax 27 Years OldAdditional Information:Candidate must possess at least Bachelor’s Degree (S1) in either Sports Science, Sports Coaching or Strength & Conditioning.Have an advanced knowledge in coaching & developing training programProvide accurate instructions during training. This involves warming up, cooling down, techniques as well as other trainings.Provide and share knowledge based on valid and accurate scientific evidence.Work in groups.Good communication skills, presentation skills, confident and reliable.Preferably someone who has had experience in coaching.Flexible working hours, able to work weekdays and weekends.Available to work around Jakarta and also to travel to other citiesPeriod: February 2022 – December 2022"
5340,5340,Sales,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel","Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Uang Makan",5 days,51 - 200 pekerja,Manufaktur/Produksi,"Deskripsi Pekerjaan:1.       Menjual dan menawarkan produk ke customer.2.       Melakukan kunjungan rutin ke customer sesuai jadwal.3.       Mengembangkan dan meningkatkan omzet penjualan untuk mencapai target yang sudah ditentukan.4.       Melakukan development & maintenance terhadap customer untuk mendapatkan order serta target penjualan.5.       Menjaga hubungan baik dengan customer.6.       Membantu melakukan penagihan kepada customer.7.       Membuat laporan penjualan secara periodik.Kualifikasi:1.       Pendidikan minimal SMA atau sederajat.2.       Pengalaman minimal 1 tahun sebagai sales.3.       Mampu berbahasa Mandarin.5.       Memiliki kendaraan sendiri (sepeda motor).6.       Memiliki SIM C/ SIM A.7.       Memiliki kemampuan negosiasi yang baik.8.       Jujur, berintegritas, mau bekerja keras, komunikatif dan target oriented."
5341,5341,Marketing Maklon (Penempatan Jakarta),Jakarta Selatan,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,Penuh Waktu,"Penjualan / Pemasaran,Digital Marketing",Tip;Asuransi kesehatan;Bisnis (contoh: Kemeja);senin - sabtu,1 day,201 - 500 pekerja,Perawatan/Kecantikan/Fitnes,"Kualifikasi:Lebih diutamakan memiliki pengalaman kerja minimal 1 (satu) tahun di bidang penjualan produk-produk yang berhubungan dengan kosmetik dan kecantikan (but fresh graduate are welcome)Memiliki pengalaman bekerja sebagai sales di Perusahaan manufaktur kosmetik menjadi nilai tambah.Memiliki integritas tinggi, working attitude dan konduite yang baik, komitmen dan loyalitas tinggi.Memiliki kemampuan komunikasi, relasi interpersonal, presentasi, dan negosiasi yang baik.Optimis, ulet (persistent), pantang menyerah, mampu bekerja di bawah tekanan, serta mampu bekerja secara individual dan kerjasama tim.Mampu mengoperasikan komputer dan terbiasa dengan program aplikasi MS Office, dan Internet.Memiliki wawasan mengenai pemasaran digital dan internet marketing.Memiliki kendaraan sendiri dan SIM A / C yang masih berlaku (menjadi nilai tambah).Bersedia melakukan perjalanan dinas luar kota apabila dibutuhkan.Tanggungjawab:Mempromosikan dan memasarkan jasa maklon kosmetik yang menjadi core business perusahaan kepada pihak yang menjadi target market.Mencapai target penjualan yang telah ditentukan bersama manajemen.Mempertahankan relasi/hubungan baik dengan konsumen/klien yang sudah berjalan, serta memperluas jaringan bisnis dan membina relasi dengan konsumen/klien baru.Melakukan analisis informasi pasar dan peluang potensial bisnis untuk mengembangkan strategi penjualan yang inovatif, kreatif, kompetitif, dan profitable.Menjaga kerahasiaan (confidentiality) semua proyek klien / konsumen.Menindaklanjuti proses kesepakatan penjualan sampai dengan teknis pembayarannya.Membuat laporan aktivitas marketing dan penjualan secara periodik.Menyiapkan ide-ide inovatif untuk mengatasi masalah dan hambatan dalam marketing & penjualan, serta mengembangkan strategi penjualan."
5346,5346,Sales Executive,Samarinda,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel","Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",3 days,1- 50 pekerja,Akunting / Audit / Layanan Pajak,Kualifikasi:Berpenampilan Menarik & RapihBisa Berkomunikasi BaikSuka TantanganPengalaman Kerja di Sales atau Marketing minimal 1 TahunMinimal D3/S1Terima Semua Fresh Graduate/Lulusan Baru minimal D3/S1Siap Ditugaskan ke Seluruh Indonesia.Umur: 20 s/d 38 tahunDeskripsi Pekerjaan:Membuat perencanaan penjualan Asuransi Jiwa di dalam cabang/outlet BANK.Melakukan aktifitas penjualan Asuransi Jiwa di dalam cabang/outlet BANK.Membangun hubungan baik dengan pihak internal (Bank) dan eksternal (Nasabah).
5352,5352,Service Frontline Puri Indah Branch,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Perbankan / Jasa Finansial ","Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);BPJS Ketenagakerjaan & Kesehatan",21 days,1001 - 2000 pekerja,Perbankan/Pelayanan Keuangan,"Requirement:Willing to be placed in Jakarta & Tangerang AreaCandidate must possess at least Bachelor's DegreeMinimum Experience 2 years in banking as CS/TellerRequired Language (s) : Bahasa Indonesia, EnglishDynamic and creative person with good communication and interpersonal skillGood appearance and attitude with pleasant personalitiesPossess positive behavior and integrityHave great interest in banking industry"
5355,5355,Supir,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,Tidak terspesifikasi,Penuh Waktu,"Manufaktur,Pembelian/Manajemen Material","Tip;Senin - Jumat, Sabtu atau memerlukan shift.",30 days,1- 50 pekerja,Percetakan/Penerbitan,"Lowongan : SupirLulusan SMU / SMK sederajat.Usia maksimal 40 tahun.Pengalaman mengemudi mobil minimal 3 tahun.Memiliki SIM B1 umum.Domisili Jakarta Timur / Jakarta Utara.Penampilan rapi.Rajin, jujur dan bertanggung jawab.Mengerti perbaikan kendaraan.Dapat merawat kendaraan dengan baik.Sehat jasmani dan rohani.Mengetahui rute-rute jalan Jabodetabek dan luar kota (pulau Jawa)Sabar berkendara dan mematuhi rambu lalu lintasDeskripsi PekerjaanMelakukan pengiriman barang.Melakukan perawatan mesin kendaraan seperti ganti oli, service dan perbaikan ringan kendaraan.Merawat kendaraan agar dalam kondisi baik dan siap pakai kapanpun dibutuhkan.Melaporkan apabila kendaraan memerlukan perpanjangan STNK dan KIR."
5368,5368,Cook,Batam,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,1 tahun,"SMA, SMU/SMK/STM",Kontrak,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran","Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",26 days,201 - 500 pekerja,Manajemen/Konsulting HR,"Deskripsi Pekerjaan1. Usia maksimal 30 tahun2. Pendidikan minimal SMA sederajat3. Diutamakan yang berpengalaman di restoran Pizza (Pizza Hut, Dominos, Marzzano, dll)4. Bersedia bekerja shifting5. Penempatan untuk : Bali, Lampung, Palembang, Yogyakarta6. Pelamar yang diutamakan yang sudah melakukan vaksin covid19, minimal dosis pertama7. Benefit : Gaji pokok, BPJS Kesehatan, BPJS Ketenagakerjaan"
5370,5370,Business Proposal Specialist,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum","Asuransi Gigi;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Lens",22 days,201 - 500 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),"Requirements:An associate’s or bachelor's degree in business administration, business management, or a related field preferred.Demonstrable experience in sales support administration, or similar.Experience min 2 years with similar position and have experience making business proposalsFluent in spoken/written English.In-depth knowledge of administrative recordkeeping practices.Familiar with sales contracts and agreements.Proficiency in Ms OfficeExcellent written and verbal communication skills, as well as customer service skills.Exceptional interpersonal skills and a proactive approach toward problem-solving."
5389,5389,IT Application Support (Support Jira),Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",29 days,1- 50 pekerja,Manajemen/Konsulting HR,"Klient kami adalah salah satu perusahaan terkenal di industri perbankan di indonesia sedang mencari posisi sebagai IT Application Support  dengan kualifikasi dan deskripsi pekerjaan sebagai berikut :Kualifikasi:Kandidat harus memiliki setidaknya gelar Sarjana di teknik (Teknik Komputer / Telekomunikasi), Ilmu Komputer/Teknologi Informasi atau setaraMemiliki pengalaman minimal 1 tahun sebagai IT Application Support untuk support jiraMenguasai penuh Database (SQLServer)Familiar dengan BankingMemiliki kemampuan analisa untuk investigasi dan problem solvingMemiliki pengalaman sebagai Application SupportPernah handle project bankingMenguasai tools Java (menjadi nilai plus)Tugas dan Tanggug Jawab:Menyiapkan usulan rancangan pelaksanaan kegiatan operasional dan meminta persetujuan dari pimpinan dan tim IT terkaitMenyiapkan kelengkapan dokumen operasional sesuai prosedur and policy yang berlaku.koordinasi dengan tim IT dan tim terkait dalam menunjang pelaksanaan kegiatan operasional.Melakukan tinjauan dan memberikan umpan balik atas pelaksanaan pekerjaan teknis dalam kegiatan operasional.Melakukan eskalasi dan menyampaikan laporan perkembangan kegiatan operasional secara berkala atau berdasarkan permintaan dari pimpinan atau TI terkait.Pendukung Operasional TI akan memberikan Deliverables kepada minimal sebagai berikut :Laporan hasil kerja pemeriksaan kepatuhan dan rekomendasi.Laporan hasil pengendalian dan pengelolaan dokumenSemua dokumen akan ditulis dengan menggunakan bahasa Inggris dan/ atau bahasa Indonesia sesuai dengan kebutuhan Benefit:Laptop availableTHRBPJS KesehatanBPJS Ketenagakerjaan"
5410,5410,PREMIER LEADER (Full Time Leaders),Bali,IDR,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan","Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);- Allowance (jika capai target)",1 day,Lebih dari 5000 pekerja,Perbankan/Pelayanan Keuangan,Membawa misi MULIA untuk mengedukasi masyarakat mengenai pentingnya manajemen resiko kehidupan dengan mentransfer resiko nya ke AIA.sehingga terhindar dari kebangkrutan finansial.Membantu Perencanaan Keuangan Keluarga di Indonesia agar bisa Sejahtera di Masa DepanMemasarkan Solusi Asuransi dari AIA untuk Individu ataupun KorporasiMembangun Tim yang ProduktifFOKUS dan KOMITMEN menjalankan AKTIVTAS SELLING & RECRUIT hingga bisa meraih INCOME 1 MILYAR dalam 3 tahun kerja.SYARAT BERGABUNG :Usia 23 - 48 thn.Kandidat harus memiliki setidaknya Sarjana di bidang apapun.Setidaknya memiliki >5 th pengalaman kerja/wiraswasta/tenaga pemasar dengan 1 thn pengalaman kepemimpinan dengan latar belakang penjualan.Lebih di PRIORITAS kan yang BERPENGALAMAN sebagai MANAGER/LEADER dari PERUSAHAAN ASURANSI JIWA dan PERBANKAN (Funding Officer)Rata-rata penghasilan bulanan sebelumnya min. 14 - 50 jt/bln.
5412,5412,Java Developer,Jakarta Raya,IDR,Supervisor/Koordinator,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi Gigi;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);THR, Bonus, BPJS, Training & Certification, Remote Working",27 days,51 - 200 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)","Responsibilities:Responsible to develop a high-quality back-end application and conduct peer-review. Became a good team member and maintain a good working atmosphere. Willing to learn and share knowledge with the others. Qualification:- Minimum Experience: 3 years as Back-end Developer- Good communication skill- Good team playerHave a strong understanding in the following concept & implementation:- Java Programming Language.- RESTful API using Springboot framework.- ORM using JPA. Experience in using PostgreSQL would be an advantage.- Microservice architecture. - Container-orchestration using Kubernetes.- Streaming platform using Kafka.- Automated Unit Test. Experience in TDD would be an advantage.- Experience in using NoSQL (eg. MongoDB, Elastic) would be an advantage.- Experience in using JMeter for would be an advantage.- Experience in distributed processing system and cache management would be an advantage.Have a good understanding in following Development Practice:- Familiar with Scrum Framework.- Git Repository & Branching Strategy- CI/CD concept and implementation- Collaboration tools (e.g. Jira, Azure DevOps board)Benefit:- Attractive income- Annual bonus- Full Family Insurance Coverage- Training & Certification facilities- Combined Remote Working- High-End Gear facilities"
5421,5421,HR-GA Staff,Jakarta Utara,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR",Tip;Bisnis (contoh: Kemeja);Monday - Saturday,22 days,1- 50 pekerja,Umum & Grosir,"Kualifikasi:1.     Pendidikan terakhir S1 Psikologi / Manajemen Sumber Daya Manusia.2.     Berpengalaman di bidang HRGA Minimal 3 – 5 tahun.3.     Memiliki strategi Planning, Organizing, Staffing, Directing & Controlling.4.     Memiliki pengalaman & memahami Recruitment, Training & Performance Appraisal5.     Profesional, cekatan, pekerja keras, jujur, setia, proaktif & memiliki inisiatif tinggi.6.     Suka mengerjakan hal-hal yang bersifat mendetail & rumit.7.     Dapat bekerja sama dengan seluruh karyawan untuk memajukan perusahaan.8.     Memiliki kemampuan pemecahan masalah yang baik.9.     Menguasai Ms. Office Word & Excel (V-look up, H-look up, IF, Pivot Table).10. Dapat bergabung secepatnya.Deskripsi Pekerjaan:1.  Posting iklan lowongan kerja di Job portal / sosial media.2.  Merekrut karyawan sesuai kebutuhan di tiap divisi.3.  Melakukan proses psikotes seleksi calon karyawan & dapat mempertanggungjawabkan keputusan & hasilnya.4.  Melakukan training & staffing (membagi tugas sesuai dengan porsi & posisi staff, memastikan semua berjalan sesuai SOP perusahaan).5.  Monitoring dan membuat kontrak kerja karyawan.6.  Mengelola kepesertaan BPJS7.  Mengolah data absensi (cuti, izin, sakit)8.  Bertanggung jawab atas kegiatan transisi, seleksi karyawan, demosi & promosi sesuai dengan kebutuhan perusahaan.9.  Melakukan tindakan disipliner pada karyawan yang melanggar peraturan & kebijakan perusahaan.10.Memonitor, mengukur & melaporkan tentang permasalahan, peluang & rencana pengembangan SDM .11.Membuat laporan HR Matriks yang berkaitan dengan Turnover Rates.12.Menyelenggarakan kegiatan tahunan yang bermanfaat dalam peningkatan keakraban dari semua karyawan termasuk juga memotivasi karyawan agar bekerja lebih optimal.13.Surat menyurat HR department14.Melakukan pengontrolan terhadap pekerjaan OB & Driver yang meliputi pemeliharaan ruko termasuk pemeliharaan inventaris & mengawasi ketersediaan stationery (ATK).15. Bertanggung jawab atas maintenance kendaraan untuk mengoptimalkan efektivitas & efisiensi penggunaan kendaraan dinas & operasional harian.16.Mendukung kegiatan operasional perusahaan melalui pengadaan barang & jasa yang dibutuhkan.17.Bertanggung jawab pada pembayaran & pembelian rutin, seperti air minum, (ATK), kertas, tinta printer, listrik, air, telepon, Wi-Fi, dll.18.Monitoring asset kantor dan gudang19.Bertanggung jawab atas pengarsipan dokumen.20.Memproses semua dokumen yang berhubungan dengan General Affairs sebelum diteruskan ke bagian lain"
5422,5422,Sales Executive,Bekasi,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel","Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",16 days,201 - 500 pekerja,Perbankan/Pelayanan Keuangan,"Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan penjualan,pelanggan, pembayaran, inventori, keuangan, karyawan sampai dengan pembiayaan usaha. Saat ini majoo sedang mencari Sales Executive untuk ditempatkan di Bekasi dengan kualifikasi dan deskripsi pekerjaan sebagai berikut.Deskripsi PekerjaanMengumpulkan daftar merchant potensialMeningkatkan penjualan secara efektif (direct selling/ meeting)Melakukan demonstrasi produk berdasarkan kebutuhan merchant (edukasi dan instalasi aplikasi Majoo)Berkoordinasi dengan atasan dan divisi terkait (terkait pembayaran)Penempatan BekasiKualifikasiPendidikan minimal SMA atau sederajatMemiliki pengalaman kerja di bidang sales minimal 1 tahunUsia maksimal 35 tahunMemiliki kendaraan pribadi dan SIM-C (minimal)Aktif dalam komunitas atau organisasi akan menjadi nilai tambahKomunikatif, bisa bekerjasama dalam tim, dan menyukai bekerja di lapanganMempunyai smartphone android dan aktif dalam bersosial mediaKompensasi dan BenefitBPJS Kesehatan dan KetenagakerjaanInsentifJam kerja yang fleksibelFasilitasTools Kit (Tablet, brosur, bluetooth printer, dan lanyard)"
5431,5431,SEKRETARIS DIREKTUR,Depok,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),Penuh Waktu,"Sumber Daya Manusia/Personalia,Sekretaris",Asuransi kesehatan;Bisnis (contoh: Kemeja);Tergantung dengan posisi dan Project,6 days,51 - 200 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)","Daun Biru Engineering adalah perusahaan perawatan maju untuk industri, baik hardware, software maupun maintenance-services. Sedang membutuhkan beberapa kandidat untuk mendukung masa depan Daun Biru Engineering.Deskripsi Pekerjaan-      Sekretaris DirekturTugas dan tanggung jawab utama: Melaksanakan tugas-tugas administrasi kesekretariatan, terutama yang bersifat kompleks dan rahasia. melakukan tugas – tugas kesekretariatan untuk mendukung tugas atau pekerjaan sehari –hari direktur, melengkapi dokumen kebutuhan eksternal atau pihak ketiga dan memprosesnya. Tugas Rutin :Mengakomodasi kebutuhan dan kegiatan direksi didalam maupun luar kantor.Mengatur dan membuat jadwal pertemuan dan perjanjian dengan relasi, mempersiapkan dan menyelenggarakan rapat direksi & travel Direktur UtamaMendampingi dan membuat notulensi rapat direksi Melakukan kegiatan administrasi dan pengarsipan (surat menyurat, filling, telepon dan menyimpan arsip-arsip penting).Menyusun dan mengingatkan agenda, deadline, control pekerjaan yang berkaitan dengan direksiMelaksanakan tugas lain yang relevan sesuai dengan instruksi atasanPersyaratan: Usia 25 - 35 tahunLulusan universitas jurusan sekretarisDiutamakan memiliki pengalaman di posisi yang sama minimal 3 tahunLancar Berbahasa dan tulisan bahasa Inggris pasif dan aktifExpert dalam manajemen jadwal kalender an pengaturan travel yang kompleksMampu berkomunikasi dengan tutur kata yang sopan dan profesionalMemiliki kemampuan menganalisa informasi dan sistematis dalam bekerjaBerpenampilan baik, rapih dan professionalMemahami Teknologi dengan baik (smartphone, laptop, G-Suite)Mampu mengoperasikan aplikasi MS OfficeBersedia melakukan perjalanan dinas Lokasi penempatan: Depok"
5433,5433,Key Account Supervisor,Jakarta Selatan,IDR,Supervisor/Koordinator,2 tahun,Sarjana (S1),Kontrak,"Penjualan / Pemasaran,Penjualan Ritel","Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",29 days,1001 - 2000 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,"Deskripsi Pekerjaan:Membuat analisa data yang bersumber dari Key Account dan berbagai informasi dari market untuk di olah dan di jadikan dasar pengambilan keputusan Strategic dalam rangka mencapai pertumbuhan bisnis di NKA.Membantu team NKA dalam menyusun berbagai rencana program activity untuk mencapai target yang di tentukan.Membantu proses pembuatan SMIP sampai dengan approval kepada pihak-pihak terkait untuk kemudian di teruskan kepada KAE untuk di implementasikan ke Account.Melakukan Monitoring Execution dari setiap Strategic plan yang di jalankanMelakukan evaluasi keberhasilan dari setiap activity yang sudah di jalankan untuk di sampaikan ke management.Kualifikasi:Minimal lulusan sarjana dari semua jurusanMinimal pengalaman 2 tahun di posisi yang sama di industri FMCGTarget oriented, memiliki analisa yang baik dan komunikasi"
5440,5440,"Warehouse Staff Stock Point (Sukabumi, Purwakarta, Purwokerto, Solo, Kediri dan Jember)",Jawa Barat,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Kontrak,"Manufaktur,Pembelian/Manajemen Material","Tip;Asuransi kesehatan;Parkir;Penglihatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",28 days,1001 - 2000 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,"Deskripsi Pekerjaan:Melakukan Loading UnbondingMelakukan Cek Saldo Fisik Goods dan Stock di SistemMelakukan Stock Opname HarianKualifikasi:Berpengalaman minimal 2 tahun dibidang Warehouse dan OperationalMinimal Umur 21 TahunMinimal lulusan D3 / S1 Semua JurusanMemiliki kepribadian yang jujur, tanggung jawab, Kerja Keras dan komunikatifMampu bekerja dalam tekanan, rapi dan telitiMampu bekerja sama dengan teamMampu mengoperasikan OfficePenempatan Sukabumi, Purwakarta, Purwokerto, Solo, Kediri dan Jember.Bagi yang memenuhi kualifikasi dapat segera mengirim lamaran/apply.Dibutuhkan SEGERA"
